PCTimeStamp       ,HD01_Ambient WindSpeed Avg. (1),HD02_Ambient WindSpeed Avg. (2),HD03_Ambient WindSpeed Avg. (3),HD04_Ambient WindSpeed Avg. (4),HD05_Ambient WindSpeed Avg. (5),HD06_Ambient WindSpeed Avg. (6),HD07_Ambient WindSpeed Avg. (7),HD08_Ambient WindSpeed Avg. (8),Column1
2024-04-27 13:50,4.16,4.258,4.004,4.07,3.668,4.059,4.066,4.27,
2024-04-27 14:00,4.086,4.074,4.348,4.25,4.309,4.125,4.004,4.465,
2024-04-27 14:10,3.957,4.156,4.258,4.098,4.219,3.848,4.113,4.086,
2024-04-27 14:20,3.707,4.215,3.766,3.938,3.836,3.516,3.922,4.16,
2024-04-27 14:30,3.406,3.742,3.793,3.605,3.617,3.813,4.016,3.77,
2024-04-27 14:40,4.168,4.102,4.047,4.445,4.465,4.488,4.539,4.152,
2024-04-27 14:50,4.418,4.012,4.012,4.121,4.484,4.164,4.395,4.574,
2024-04-27 15:00,4.488,4.48,4.32,4.406,4.77,4.41,4.453,4.316,
2024-04-27 15:10,4.719,4.117,4.305,4.141,4.184,4.199,3.727,4.387,
2024-04-27 15:20,4.832,3.598,3.934,4.059,4.348,4.348,4.582,4.496,
2024-04-27 15:30,4.887,3.816,4.223,4.105,4.465,4.313,3.848,4.602,
2024-04-27 15:40,5.168,4.617,4.711,4.285,4.563,4.648,4.41,4.609,
2024-04-27 15:50,4.52,3.93,4,3.945,3.996,4.133,4,4.094,
2024-04-27 16:00,5.199,3.754,4.195,4.211,4.117,4.371,3.906,4.711,
2024-04-27 16:10,4.676,3.574,3.586,3.828,3.516,3.984,3.965,4.023,
2024-04-27 16:20,4.895,3.453,3.824,3.625,4.074,4.105,3.52,4.164,
2024-04-27 16:30,4.797,3.383,4.031,3.922,4.207,4.168,3.891,4.379,
2024-04-27 16:40,4.836,3.75,3.887,3.953,4.141,4.383,4.676,4.855,
2024-04-27 16:50,4.816,3.32,3.547,3.645,3.992,3.84,3.613,4.156,
2024-04-27 17:00,5.02,3.492,3.523,4.129,3.57,3.691,4.039,4.223,
2024-04-27 17:10,5.27,3.328,3.801,3.801,3.848,4.098,4.152,3.98,
2024-04-27 17:20,4.695,3.633,3.715,3.859,3.758,3.656,3.828,4.117,
2024-04-27 17:30,4.621,2.992,3.176,3.219,3.684,3.645,3.359,3.766,
2024-04-27 17:40,4.336,2.281,3.453,2.813,3.551,3.691,3.594,3.523,
2024-04-27 17:50,4.141,2.355,2.707,2.926,3.023,3.059,2.598,3.137,
2024-04-27 18:00,4.176,2.441,2.945,2.508,3.113,3.266,2.945,2.984,
2024-04-27 18:10,4.469,3.094,2.816,3.273,3.363,3.355,3.336,3.426,
2024-04-27 18:20,4.488,2.445,2.766,3.133,3.164,3.383,2.691,3.336,
2024-04-27 18:30,4.648,3.078,3,3.195,3.379,3.277,3.172,3.512,
2024-04-27 18:40,4.332,3.215,2.664,3.609,3.027,3.25,2.992,2.906,
2024-04-27 18:50,4.348,2.918,2.262,3.383,2.496,2.859,2.879,2.945,
2024-04-27 19:00,4.262,2.727,1.738,2.848,2.176,2.637,2.34,2.402,
2024-04-27 19:10,4.098,3.164,1.938,3.133,2.449,2.973,2.773,2.375,
2024-04-27 19:20,4.461,4.309,3.988,4.094,3.988,3.703,3.91,3.719,
2024-04-27 19:30,4.074,2.531,1.805,2.719,2.582,3.066,2.574,3.016,
2024-04-27 19:40,3.816,1.891,1.445,2.77,1.699,2.578,2.816,2.258,
2024-04-27 19:50,2.762,1.898,2.199,2.934,1.965,2.625,3.184,2.227,
2024-04-27 20:00,3.516,2.66,2.199,2.945,2.328,2.938,2.871,2.148,
2024-04-27 20:10,3.5,1.887,2.039,2.926,2.051,2.699,3.059,2.664,
2024-04-27 20:20,3.734,2.203,1.957,2.73,2.453,2.863,2.816,2.766,
2024-04-27 20:30,3.91,1.809,2.43,2.477,2.578,2.273,2.766,2.801,
2024-04-27 20:40,4.402,2.113,2.625,2.402,2.727,2.715,2.887,2.766,
2024-04-27 20:50,4.539,2.473,2.832,2.59,3.563,3.824,3.738,3.902,
2024-04-27 21:00,4.57,2.551,2.895,2.336,3.008,3.102,3.078,3.25,
2024-04-27 21:10,4.961,2.742,3.176,2.664,3.355,3.516,3.656,4.031,
2024-04-27 21:20,4.875,3.035,2.859,3.391,3.766,3.809,3.672,4.18,
2024-04-27 21:30,5.047,3.371,2.414,2.957,3.191,3.367,3.406,3.918,
2024-04-27 21:40,5.082,2.816,2.559,3.227,3.258,3.289,3.211,3.387,
2024-04-27 21:50,5.578,3.301,2.574,3.324,3.055,3.363,2.984,2.852,
2024-04-27 22:00,4.848,3.027,2.348,3.238,3.238,3.188,3.289,3.332,
2024-04-27 22:10,4.684,2.973,2.402,3.336,3.16,3.055,3.09,3.273,
2024-04-27 22:20,4.898,3.461,2.66,4.301,3.387,4.012,4.141,4.145,
2024-04-27 22:30,5.961,4.207,2.563,4.578,3.465,3.703,4.047,3.84,
2024-04-27 22:40,5.016,4.25,2.941,4.551,3.563,3.688,3.695,3.277,
2024-04-27 22:50,4.766,4.16,3.141,4.199,3.816,4.074,4.625,3.883,
2024-04-27 23:00,4.801,4.172,2.633,4.367,3.262,3.699,4.105,3.832,
2024-04-27 23:10,5.891,4.105,2.754,4.133,3.227,3.727,4.262,4.043,
2024-04-27 23:20,5.551,4.164,3.152,4.645,3.406,3.906,4.586,4.063,
2024-04-27 23:30,5.086,3.844,2.668,3.887,2.914,3.129,3.484,3.625,
2024-04-27 23:40,5.387,3.75,2.016,3.98,2.758,3.207,3.184,3.371,
2024-04-27 23:50,5.234,3.363,2.219,3.773,2.813,2.91,2.879,2.789,
